status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
85014209445_10156032850044446,,,video,https://www.facebook.com/amul.coop/videos/10156032850044446/,2017-11-25 23:07:57,143,3,5,139,3,1,0,0,0,0
85014209445_10156032848724446,,,video,https://www.facebook.com/amul.coop/videos/10156032848724446/,2017-11-25 23:06:51,59,3,1,55,2,0,0,0,1,1
85014209445_10156032737774446,"Enthusiasm ensues as Dr. Kurien rally reaches Amul Dairy, Mogar Unit, and is being received by leadership team of GCMMF and Amul Dairy. #IntroducingDrKurien #NationalMilkDay",Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156032736009446/?type=3,2017-11-25 21:51:00,334,9,23,326,7,1,0,0,0,0
85014209445_10156032668969446,Leasdership team of GCMMF Ltd. and Amul Dairy welcome Dr. Kurien rally #IntroducingDrKurien #NationalMilkDay,,video,https://www.facebook.com/amul.coop/videos/10156032668969446/,2017-11-25 21:08:48,191,7,20,176,12,1,0,0,2,0
85014209445_10156032654379446,"Dr. Kurien biker rally being welcomed by Amul Dairy, Mogar Unit at Anand. What a start to an eventful day!  #IntroducingDrKurien, #NationalMilkDay","At Amul Dairy, Mogar Unit",video,https://www.facebook.com/amul.coop/videos/10156032654379446/,2017-11-25 21:03:43,136,3,9,125,9,0,0,0,2,0
85014209445_10156031437759446,"Throughout the #IntroducingDrKurien rally, he gave us Anand, and we are speeding on our way to express our gratitude to Dr. Verghese Kurien, tomorrow #NationalMilkDay

Follow the ride: http://www.drkurien.com/nationalmilkday/",Reaching soon to the place where it all began,video,https://www.facebook.com/amul.coop/videos/10156031437759446/,2017-11-25 11:21:25,152,5,7,147,3,1,1,0,0,0
85014209445_10156031433219446,"A big thanks Vasudhara Dairy, Valsad, SUMUL Dairy, Surat, and Dudh Dhara Dairy, Bharuch for the grand welcome and hospitality; together, we owe all this to one man - Dr. Verghese Kurien #IntroducingDrKurien #NationalMilkDay

Follow the ride on http://www.drkurien.com/nationalmilkday/",Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156031430514446/?type=3,2017-11-25 11:18:01,271,4,5,264,5,1,0,0,1,0
85014209445_10156030891409446,"Introducing Dr. Kurien: Episode 4
We are proud to present to you episode 4 of the epic journey that is, #IntroducingDrKurien. Follow our ride for a never before seen side of the Milk Man of India – Dr. Verghese Kurien. #NationalMilkDay 

Register: http://www.drkurien.com/nationalmilkday/",Introducing Dr. Kurien: Episode 4,video,https://www.facebook.com/amul.coop/videos/10156030891409446/,2017-11-25 07:00:45,12364,84,317,12155,124,35,19,6,4,21
85014209445_10156030846094446,Mr. Narayana Murthy shares his views on the Father of Milk Revolution in India - Dr. Verghese Kurien #NationalMilkDay,Mr. Narayana Murthy on Dr. Kurien,video,https://www.facebook.com/amul.coop/videos/10156030846094446/,2017-11-25 06:25:39,22769,304,2432,22112,484,78,22,7,11,55
85014209445_10156030383444446,"A heartening sight to see young minds get curious about The Milkman who conceived and actualized Operation Flood! #IntroducingDrKurien #NationalMilkDay

Follow the ride on http://www.drkurien.com/nationalmilkday/",Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156030382944446/?type=3,2017-11-25 01:26:03,411,6,15,403,7,1,0,0,0,0
